0,1,date,place,accompanying text,link
-118.326665,34.098327,2/1/16,college,White-Power,www.dailytargum.com/article/2016/02/rutgers-administration-responds-to-jan-15-hate-crime-allegations
-111.888196,40.759551,3/3/16,public space,Donald-Trump,www.dailytargum.com/article/2016/02/rutgers-administration-responds-to-jan-15-hate-crime-allegationswww.mycentraljersey.com/story/news/crime/jersey-mayhem/2017/01/26/swastika-white-power-graffiti-appears-jackson-road/97093194/
-87.831165,42.129468,4/14/16,college,Ni*ger,www.westernfrontonline.com/2016/06/02/anti-semitic-incidents-on-campus-revealed/
-93.587439,42.056097,4/22/16,public space,"I-love-Ni*gers, Clean-the-Trash, I'm-a-F*g",www.latimes.com/local/lanow/la-me-ln-swastika-donald-trump-hollywood-star-20160201-story.html
-93.205041,44.998047,7/1/16,local business,Stop-Trump,westseattleblog.com/2016/02/sidewalk-swastika-outside-junction-business-for-second-time-in-half-a-year/
-75.738782,39.656141,8/19/16,college,"Stop-Trump, #-Donald-Chump",www.nbcphiladelphia.com/news/local/Temple-University-Swastika-Racial-Slur-Snow-Car-Police-Philadelphia--367924781.html
-117.126706,32.963224,8/30/16,college,Trump,http://www.sjsunews.com/spartan_daily/article_11bcc7be-d017-11e5-812e-cb99b9573423.html
-94.375069,35.366831,10/1/16,college,"Trump, heil",thetab.com/us/rutgers/2016/02/18/swastika-3563
-93.587439,42.056097,11/10/16,college,White-Man-are-you-sick-of-the-Jews-destroying-your-country-through-mass-immigration-and-degeneracy?; Join-us-in-the-struggle-for-global-white-supremacy-at-The-Daily-Stormer.,badgerherald.com/news/2016/02/18/uw-officials-respond-to-swastika-bias-incident-in-campus-dorm/
-86.199015,39.270147,11/12/16,college,Rape-Mexico,calcoastnews.com/2016/03/swastikas-racial-slurs-scribbled-on-cal-poly-apartment/
-70.523709,41.685053,12/12/16,K-12,"rape-mexico, real-power",newton.wickedlocal.com/news/20160225/officials-reviewing-protocols-after-two-anti-semitic-incidents-at-newtons-day-middle-school
-73.555742,41.276199,12/27/16,K-12,"Loser, FU",newton.wickedlocal.com/news/20160225/officials-reviewing-protocols-after-two-anti-semitic-incidents-at-newtons-day-middle-school
-77.300333,37.43752,12/29/16,public space,"rape-n-kill-Mexico!, Trump-rules",thehill.com/blogs/ballot-box/271287-trump-swastika-sign-reported-in-houston
-95.518421,29.497227,1/29/17,public space,Hail,fox13now.com/2016/03/03/swastikas-in-sugar-house-posters-against-trump-offending-residents/
-87.831165,42.129468,1/30/17,college,Sieg-Hiel,fox59.com/2016/03/08/swastikas-found-at-uindy-purdue-university/
-77.375524,36.120156,3/2/17,college,Hail-Hitler,http://fox59.com/2016/03/08/swastikas-found-at-uindy-purdue-university/
-75.815164,41.322074,3/3/17,private property,KKK,newyork.cbslocal.com/2016/03/08/cedarhurst-swastikas/
-74.225079,40.406925,4/28/17,college,Kill-Jewish-Boys,www.nydailynews.com/news/national/northwestern-freshmen-paint-slurs-trump-chapel-article-1.2563021
-87.714163,43.750867,6/21/17,private property,"Trump, Ni*ger",www.cleveland19.com/story/31517523/swastikas-spray-painted-on-trump-yard-signs/
-81.961884,27.990363,11/12/17,college,White-Power,www.roanoke.com/news/local/roanoke_county/second-swastika-discovered-near-hollins-university-campus/article_ade2317f-efa6-5338-8903-6d74d9e5f649.html
-93.672738,41.586369,1/7/18,college,Trump-Do-the-White-Thing,www.timesofisrael.com/white-supremacist-claims-swastika-printing-hack-at-us-colleges/
-93.672738,41.586369,1/7/18,religious institution,Go-Home,www.nbcchicago.com/news/local/Pilsen-Church-Swastika-373932521.html
-80.252866,26.312482,2/14/18,religious institution,"Burn, Kill",www.dnainfo.com/chicago/20160330/pilsen/rape-mexico-swastika-scrawled-on-pilsen-church-window-pastor-says/
-85.044112,33.826216,4/21/18,college,"KKK, Germany, Heil-Hitler",www.algemeiner.com/2016/04/04/swastika-sprayed-on-jewish-fraternity-party-house-at-brandeis-university/
-96.235301,43.127761,7/28/18,private property,Trump,news.keepmecurrent.com/police-mum-on-motive-for-swastika-painting/
-105.330223,32.569609,10/11/18,religious institution,"Make-America-Great-Again, #-Vote-Trump-2016",www.dnainfo.com/chicago/20160708/pilsen/rape-kill-mexico-scrawled-on-pilsen-church-window-again-pastor-says/
-73.755133,40.605382,2/1/17,K-12,Ni*gers-Don't-Matter,www.chicagotribune.com/suburbs/northbrook/ct-nbs-northbrook-youth-tl-0202-20170130-story.html
-73.755133,40.605382,8/31/18,college,Make-America-White-Again,chimes.biola.edu/story/2016/apr/28/swastika-drawing-unearths-preexisting-wounds/
-73.755133,40.605382,11/23/18,private property,"Sieg-Heil-Trump, I-(heart image)-facism, Trump",www.usatoday.com/story/news/nation-now/2016/04/15/property-owners-nazi-flag-upsets-neighbors-tenn/83113360/
-82.657046,28.825815,10/31/16,college,"fuck-ni*gers, Trump, #-White-america, #-Fuck-all-porch-monkeys, #-Whites-only",www.theindychannel.com/news/local-news/iu-fraternity-vandalized-with-swastika-smiley-face
-120.054929,38.689283,3/17/17,protest/rally,"Trump, Sieg-Heil-2016",time.com/5249811/neo-nazis-burn-swastika-georgia/
-82.742879,28.053073,4/10/18,public space,I-love-Trump.,www.timesofisrael.com/swastikas-spray-painted-at-park-school-in-largely-jewish-dc-suburb/
-82.742879,28.053073,4/10/18,private property,"the-white-man-is-back-in-power-you, MAGA, ni*ger, low-IQ-affrimative-action",newyork.cbslocal.com/2016/04/27/painted-swastikas-marine-park/
-82.742879,28.053073,4/14/18,college,KKK,www.chicagotribune.com/news/nationworld/midwest/ct-uofi-swastikas-20160502-story.html
-84.782548,45.5939,6/19/18,college,I-love-Trump,www.cbsnews.com/news/swastikas-noose-found-on-university-of-illinois-campus/
-81.90819,41.37505,3/18/16,K-12,Go-Trump,www.orlandosentinel.com/news/education/os-swastika-graffiti-lake-brantley-high-school-20161220-story.html
-73.945032,40.645099,4/27/16,K-12,Trump,thejewishchronicle.net/view/full_story/27199001/article-Catholic-students-learn-that-hate-can-hurt
-73.945032,40.645099,10/25/16,K-12,"gas-th-Jews, kill-all-(n-word), Trump-2016",boston.cbslocal.com/2017/05/26/duxbury-schools-have-swastika-vandalism/
-74.955535,40.263042,11/9/16,K-12,"F*g-Church, Heil-Trump",projects.registerguard.com/rg/news/local/34426320-75/eugene-school-officials-respond-quickly-to-nazi-graffiti-at-former-crest-drive-elementary-school.html.csp
-74.955535,40.263042,11/9/16,local business,Can't-Stop-the-Trump-Mexicans,www.fox2detroit.com/news/swastikas-satanic-symbol-graffiti-left-on-community-buildings-in-highland
-73.945032,40.645099,11/13/16,private property,"MAGA, 14-88",www.citypages.com/news/robert-walter-flies-a-nazi-flag-in-lauderdale-saying-he-just-like-the-color-scheme-8400369
-73.945032,40.645099,11/18/16,private property,Go-Trump,philadelphia.cbslocal.com/2016/07/19/mount-laurel-hate-crime/
-73.945032,40.645099,12/8/16,public space,"F*g-Die-He-She, Tranny-Die, F*g, Die, Trump",www.lohud.com/story/news/local/2017/02/07/swastikas-painted-over-trees-new-city-woods/97610650/
-73.934502,40.744622,12/24/16,private property,"Trump, White-Pride, Make-America-Great-Again",www.dailycamera.com/2016/07/27/swastikas-painted-on-graffiti-covered-fence-in-longmont/
-73.934502,40.744622,1/1/17,private property,Go-Trump,jewishexponent.com/2016/08/31/two-anti-semitic-incidents-reported-to-police-in-recent-days-across-area/
-122.29673,37.860576,1/17/17,K-12,"We-are-Hitler-Youth, die-DJ-can",jewishexponent.com/2016/08/31/two-anti-semitic-incidents-reported-to-police-in-recent-days-across-area/
-73.945032,40.645099,2/9/17,public space,We-(Heart)-Trump,www.nj.com/monmouth/index.ssf/2016/08/swastikas_found_painted_in_nj_park_police_say.html
-73.945032,40.645099,2/12/17,K-12,Trump,fox5sandiego.com/2016/09/01/vandals-paint-swastikas-on-park-view-elementary/
-112.351835,33.703967,3/17/17,college,Bullshit-hatred-cover-to-cover,daily.swarthmore.edu/2016/09/06/37802/
-73.945032,40.645099,6/1/17,college,"Trump, Build-the-Wall, Ni*gers, F*gs-must-die",www.thehoya.com/racist-gumc-vandalism-investigated/
-73.654724,40.606953,6/29/17,college,Trump-2016,www.chicagotribune.com/suburbs/river-forest/ct-rfl-dominican-swastika-tl-0202-20170124-story.html
-73.945032,40.645099,7/8/17,K-12,White-Power,ktla.com/2016/09/29/hate-crimes-in-l-a-county-on-the-rise-jump-24-percent-new-report-says/
-73.945032,40.645099,8/14/17,private club,Make-America-Great-Again,wwlp.com/2016/09/29/swastika-racial-slurs-trump-spray-painted-on-boats-in-longmeadow/
-73.945032,40.645099,8/14/17,abandoned structure,Trump,wjla.com/news/local/nineteenth-century-african-american-school-vandalized-with-swastikas-other-vulgar-images
-75.829163,39.968862,8/22/17,protest/rally,Make-America-White-Again,projects.registerguard.com/rg/news/local/34850780-75/man-accused-of-broadcasting-hate-messages-from-loudspeaker-on-roof.html.csp
-79.29976,40.33396,9/24/17,religious institution,Hitler,www.newsweek.com/racist-defaced-mosque-swastika-and-muslims-paid-his-fine-keep-him-out-jail-767691
-73.945032,40.645099,10/3/17,college,"Trump, Racist",www.kiro7.com/news/local/seattle-university-students-notified-of-swastikas-on-campus/459516393
-122.29673,37.860576,10/11/17,religious institution,Trump,www.dnainfo.com/chicago/20161003/pilsen/swastika-threats-scrawled-on-pilsen-church-window-again-pastor-says
-79.950968,40.47441,1/16/18,K-12,Trump,www.post-gazette.com/local/south/2016/12/03/Mt-Lebanon-police-probing-racist-anti-Semitic-graffiti-at-schools-and-football-field/stories/201612030059
-112.351835,33.703967,2/14/18,college,Make-America-Great-Again,themacweekly.com/2016/10/swastika-found-on-campus/
-73.945032,40.645099,2/21/18,K-12,"KKK, Go-Back-to-Africa, Trump",www.marinij.com/2016/10/09/hate-incidents-on-campus-prompt-new-school-focus/
-73.945032,40.645099,8/22/18,college,Praise-Trump,www.chicagotribune.com/suburbs/river-forest/news/ct-rfl-dominican-swastika-tl-0202-20170124-story.html
-73.945032,40.645099,10/24/18,K-12,"Trump!, Refugees-go-Home, Rapeugees-not-Welcome, Heil-Hitler",www.bethesdamagazine.com/Bethesda-Beat/Web-2016/Police-Seek-Help-Identifying-Vehicle-after-Vandalism-at-Quince-Orchard-High-School-Football-Field/
-73.945032,40.645099,10/30/18,college,Mein-ehre-heist-Terue,www.nydailynews.com/news/crime/cops-nab-man-20-allegedly-covered-campus-swastikas-article-1.2918012
-73.945032,40.645099,12/29/18,local business,pay-me; Hitler-was-right,www.nbcconnecticut.com/news/local/Police-Investigate-Multiple-Reports-of-Swastika-Vandalism-in-Danbury-401139805.html
-73.945032,40.645099,12/3/18,college,"Hail-President-Trump, Nig*er",www.politico.com/states/new-york/city-hall/story/2016/11/brooklyn-college-president-outsiders-stoke-israel-palestine-furor-106947
-79.950968,40.47441,11/29/18,religious institution,"""Ni*ger,"" ""Hail-President-Trump""",pittsburgh.cbslocal.com/2016/10/31/pennsylvania-church-hit-with-anti-trump-graffiti/
-92.43352,41.396952,3/4/16,public space,Ni*ger,www.fastcodesign.com/3065072/whos-behind-that-anti-trump-art
-92.43352,41.396952,3/8/16,public space,"Trump-2016-bless, Ni*ger",www.orlandosentinel.com/news/politics/political-pulse/os-osceola-campaign-signs-defaced-with-nazi-sticker-20161031-story.html
-93.445399,45.127446,11/9/16,religious institution,Trump,koin.com/2016/10/31/pastor-finds-opportunity-in-church-hate-crimes/
-79.749491,40.500346,12/10/16,religious institution,No-Jews-allowed,koin.com/2016/10/31/pastor-finds-opportunity-in-church-hate-crimes/
-84.661623,39.989494,1/10/17,K-12,KKK,wjla.com/news/crime/officials-2nd-md-school-becomes-target-of-hate-crime-in-less-than-a-month
-74.168479,41.141206,2/27/17,K-12,"White-Power, Deport-Immagrants, assholes-w/-no-lives, #-tagged, el-charo, my-pussy-boi, free-America, Trump",concord.wickedlocal.com/news/20170508/swastika-found-in-bathroom-at-concord-carlisle-high-school
-74.346565,40.282353,4/13/17,public space,Trump,www.wellsvilledaily.com/news/20161111/wellsville-softball-field-dugout-marked-with-swastika-graffiti
-80.766178,36.00319,4/16/17,private property,Fuck-Arabs,www.nbcbayarea.com/news/local/Nazi-Flag-Skull-Spotted-at-San-Francisco-House-400600901.html
-70.475305,41.571499,8/15/17,college,Isabel,www.abqjournal.com/885573/anti-trump-graffiti-defaces-unm-sculpture-elsewhere-on-campus.html
-81.812912,41.36144,5/9/18,K-12,Bomb,www.citypages.com/news/maple-grove-students-greeted-with-fuck-niggers-the-day-after-election/400601921
-89.580655,37.803663,5/27/18,college,jew-propaganda,www.burlingtonfreepress.com/story/entertainment/2016/11/10/swastika-painted-trump-sign-found-uvm/93608528/
-87.827131,41.97428,7/25/18,public space,Smash-the-Alt-right,www.thedp.com/article/2016/11/swastikas-south-philidelphia
-72.623728,44.557274,8/8/18,K-12,Trump,www.edweek.org/ew/projects/hate-in-schools.html
-76.722194,39.340662,8/10/18,K-12,"TRUMP, F***-n*****-and-f******, J.-Cranley",www.edweek.org/ew/projects/hate-in-schools.html
-92.43352,41.396952,9/27/18,college,Trump,koin.com/2016/11/13/hateful-racist-messages-left-in-reed-college-library/
-102.502117,43.497212,11/21/18,public space,Nazis-are-Coming; suicide-is-cool; n---er,fox59.com/2016/11/11/swastika-kkk-graffiti-found-along-bloomingtons-b-line-trail/
-77.146369,38.782058,11/11/16,community center,"Trump-Pence, Make-America-Great-Again-2016",billypenn.com/2016/11/14/fishtown-moms-inspired-by-oitnb-transform-playground-swastika/
-74.256518,42.761186,1/1/17,private property,KKK,www.jamaicaplainnews.com/2016/11/11/swastika-cut-into-recycling-bin-on-wenham-street/22353
-80.153935,25.846208,1/11/17,K-12,"Trump, Muslims-Matter, Fascism",www.philly.com/philly/education/400732361.html
-80.051986,26.586736,5/10/17,public space,"TRUMP, @TX2againsttrump",www.citypages.com/news/swastika-spotted-on-st-paul-jogging-path/400812041
